code,code_name,close,mktcap
sh.600967,内蒙一机,13.37,234.95
sh.600970,中材国际,8.47,227.51
sh.600971,恒源煤电,7.3,92.42
sh.600973,宝胜股份,6.89,100.59
sh.600977,中国电影,14.56,273.0
sh.600982,宁波能源,6.07,70.79
sh.600983,惠而浦,8.85,68.55
sh.600985,淮北矿业,13.0,361.37
sh.600986,浙文互联,9.44,151.83
sh.600987,航民股份,6.84,70.41
sh.600988,赤峰黄金,34.5,604.92
sh.600989,宝丰能源,26.55,2060.61
sh.600990,四创电子,20.55,57.63
sh.600993,马应龙,24.25,106.99
sh.600995,南网储能,14.11,469.51
sh.600996,贵广网络,8.89,112.38
sh.600999,招商证券,17.43,1237.04
sh.601001,晋控煤业,17.17,298.55
sh.601009,南京银行,10.95,1366.98
sh.601012,隆基绿能,14.79,1161.17
sh.601019,山东出版,7.21,152.17
sh.601020,华钰矿业,26.57,226.96
sh.601021,春秋航空,47.82,445.18
sh.601022,宁波远洋,8.89,112.87
sh.601038,一拖股份,12.77,96.23
sh.601058,赛轮轮胎,12.58,417.13
sh.601059,信达证券,17.19,551.54
sh.601061,中信金属,13.34,682.14
sh.601065,江盐集团,7.8,51.2
sh.601066,中信建投,22.67,1452.49
sh.601069,西部黄金,27.64,256.61
sh.601077,渝农商行,6.82,608.63
sh.601086,国芳集团,8.31,57.81
sh.601088,中国神华,45.26,7563.54
sh.601089,福元医药,18.83,92.89
sh.601098,中南传媒,11.04,202.59
sh.601100,恒立液压,114.04,1528.07
sh.601101,昊华能源,10.5,157.27
sh.601107,四川成渝,6.33,138.15
sh.601108,财通证券,8.04,383.81
sh.601111,中国国航,6.77,782.33
sh.601116,三江购物,12.2,70.42
sh.601117,中国化学,7.87,488.92
sh.601118,海南橡胶,6.41,299.75
sh.601121,宝地矿业,6.76,56.81
sh.601126,四方股份,81.67,673.76
sh.601127,赛力斯,83.38,1274.69
sh.601128,常熟银行,7.16,238.75
sh.601133,柏诚股份,33.13,162.11
sh.601136,首创证券,15.52,434.4
sh.601137,博威合金,20.05,187.16
sh.601138,工业富联,65.5,13503.97
sh.601139,深圳燃气,6.51,190.07
sh.601155,新城控股,13.74,321.93
sh.601156,东航物流,15.95,148.66
sh.601163,三角轮胎,14.52,116.59
sh.601166,兴业银行,17.37,3704.26
sh.601168,西部矿业,30.07,720.22
sh.601177,杭齿前进,17.06,67.4
sh.601179,中国西电,16.12,874.74
sh.601186,中国铁建,6.42,751.83
sh.601187,厦门银行,7.31,191.11
sh.601198,东兴证券,13.5,428.58
sh.601200,上海环境,7.64,106.19
sh.601208,东材科技,47.68,480.0
sh.601211,国泰海通,15.23,2087.26
sh.601212,白银有色,6.36,498.46
sh.601222,林洋能源,6.34,131.31
sh.601225,陕西煤业,23.42,2338.64
sh.601226,华电科工,8.12,99.09
sh.601229,上海银行,9.09,1315.81
sh.601231,环旭电子,37.29,940.8
sh.601233,桐昆股份,19.3,475.19
sh.601236,红塔证券,7.13,339.69
sh.601238,广汽集团,6.34,477.17
sh.601288,农业银行,6.51,21048.57
sh.601298,青岛港,9.0,483.62
sh.601311,骆驼股份,9.17,109.15
sh.601318,中国平安,53.76,5839.84
sh.601319,中国人保,7.0,2488.22
sh.601328,交通银行,6.64,1739.27
sh.601330,绿色动力,8.69,92.22
sh.601336,新华保险,59.19,1261.49
sh.601339,百隆东方,7.87,122.11
sh.601360,三六零,10.6,771.97
sh.601369,陕鼓动力,8.96,155.96
sh.601398,工商银行,7.15,19436.45
sh.601456,国联民生,9.25,408.1
sh.601512,中新集团,8.67,136.62
sh.601519,大智慧,10.71,211.22
sh.601555,东吴证券,8.01,405.9
sh.601566,九牧王,12.05,66.81
sh.601567,三星电气,18.01,259.36
sh.601577,长沙银行,9.23,374.24
sh.601579,会稽山,17.26,85.7
sh.601595,上海电影,22.4,100.87
