code,industry
sh.600858,零售业
sh.600859,零售业
sh.600860,专用设备制造业
sh.600861,商务服务业
sh.600862,铁路、船舶、航空航天和其他运输设备制造业
sh.600863,电力、热力生产和供应业
sh.600864,资本市场服务
sh.600865,零售业
sh.600866,食品制造业
sh.600867,医药制造业
sh.600868,电力、热力生产和供应业
sh.600869,电气机械和器材制造业
sh.600871,开采专业及辅助性活动
sh.600872,食品制造业
sh.600873,食品制造业
sh.600874,水的生产和供应业
sh.600875,通用设备制造业
sh.600876,非金属矿物制品业
sh.600877,计算机、通信和其他电子设备制造业
sh.600879,铁路、船舶、航空航天和其他运输设备制造业
sh.600880,新闻和出版业
sh.600881,非金属矿物制品业
sh.600882,食品制造业
sh.600883,农副食品加工业
sh.600884,计算机、通信和其他电子设备制造业
sh.600885,电气机械和器材制造业
sh.600886,电力、热力生产和供应业
sh.600887,食品制造业
sh.600888,计算机、通信和其他电子设备制造业
sh.600889,化学纤维制造业
sh.600892,互联网和相关服务
sh.600893,铁路、船舶、航空航天和其他运输设备制造业
sh.600894,通用设备制造业
sh.600895,房地产业
sh.600897,航空运输业
sh.600900,电力、热力生产和供应业
sh.600901,货币金融服务
sh.600903,燃气生产和供应业
sh.600905,电力、热力生产和供应业
sh.600906,资本市场服务
sh.600908,货币金融服务
sh.600909,资本市场服务
sh.600916,零售业
sh.600917,燃气生产和供应业
sh.600918,资本市场服务
sh.600919,货币金融服务
sh.600925,煤炭开采和洗选业
sh.600926,货币金融服务
sh.600927,资本市场服务
sh.600928,货币金融服务
sh.600929,食品制造业
sh.600930,电力、热力生产和供应业
sh.600933,汽车制造业
sh.600935,化学原料和化学制品制造业
sh.600936,电信、广播电视和卫星传输服务
sh.600938,石油和天然气开采业
sh.600939,房屋建筑业
sh.600941,电信、广播电视和卫星传输服务
sh.600955,化学原料和化学制品制造业
sh.600956,燃气生产和供应业
sh.600958,资本市场服务
sh.600959,电信、广播电视和卫星传输服务
sh.600960,汽车制造业
sh.600961,有色金属冶炼和压延加工业
sh.600962,酒、饮料和精制茶制造业
sh.600963,造纸和纸制品业
sh.600965,农副食品加工业
sh.600966,造纸和纸制品业
sh.600967,铁路、船舶、航空航天和其他运输设备制造业
sh.600968,开采专业及辅助性活动
sh.600969,电力、热力生产和供应业
sh.600970,土木工程建筑业
sh.600971,煤炭开采和洗选业
sh.600973,电气机械和器材制造业
sh.600975,畜牧业
sh.600976,批发业
sh.600977,广播、电视、电影和录音制作业
sh.600979,电力、热力生产和供应业
sh.600980,专用设备制造业
sh.600981,批发业
sh.600982,电力、热力生产和供应业
sh.600983,电气机械和器材制造业
sh.600984,租赁业
sh.600985,煤炭开采和洗选业
sh.600986,互联网和相关服务
sh.600987,纺织业
sh.600988,有色金属矿采选业
sh.600989,化学原料和化学制品制造业
sh.600990,计算机、通信和其他电子设备制造业
sh.600992,金属制品业
sh.600993,医药制造业
sh.600995,电力、热力生产和供应业
sh.600996,电信、广播电视和卫星传输服务
sh.600997,石油、煤炭及其他燃料加工业
sh.600998,批发业
sh.600999,资本市场服务
sh.601000,水上运输业
sh.601001,煤炭开采和洗选业
sh.601002,通用设备制造业
sh.601003,黑色金属冶炼和压延加工业
sh.601005,黑色金属冶炼和压延加工业
sh.601006,铁路运输业
sh.601007,住宿业
sh.601008,水上运输业
sh.601009,货币金融服务
sh.601010,零售业
sh.601011,石油、煤炭及其他燃料加工业
sh.601012,电气机械和器材制造业
sh.601015,石油、煤炭及其他燃料加工业
sh.601016,电力、热力生产和供应业
sh.601018,水上运输业
sh.601019,新闻和出版业
sh.601020,有色金属矿采选业
sh.601021,航空运输业
sh.601022,水上运输业
sh.601026,化学原料和化学制品制造业
sh.601033,生态保护和环境治理业
sh.601038,专用设备制造业
sh.601058,橡胶和塑料制品业
sh.601059,资本市场服务
sh.601061,批发业
sh.601065,化学原料和化学制品制造业
sh.601066,资本市场服务
sh.601068,土木工程建筑业
sh.601069,有色金属矿采选业
sh.601077,货币金融服务
sh.601083,水上运输业
sh.601086,零售业
sh.601088,煤炭开采和洗选业
sh.601089,医药制造业
sh.601096,金属制品业
sh.601098,新闻和出版业
sh.601099,资本市场服务
sh.601100,通用设备制造业
sh.601101,煤炭开采和洗选业
sh.601106,专用设备制造业
sh.601107,道路运输业
sh.601108,资本市场服务
sh.601111,航空运输业
sh.601112,非金属矿物制品业
sh.601113,零售业
sh.601116,零售业
sh.601117,土木工程建筑业
sh.601118,农业
sh.601121,黑色金属矿采选业
sh.601126,电气机械和器材制造业
sh.601127,汽车制造业
sh.601128,货币金融服务
sh.601133,建筑安装业
sh.601136,资本市场服务
sh.601137,有色金属冶炼和压延加工业
sh.601138,计算机、通信和其他电子设备制造业
sh.601139,燃气生产和供应业
sh.601155,房地产业
sh.601156,航空运输业
sh.601158,水的生产和供应业
sh.601162,资本市场服务
sh.601163,橡胶和塑料制品业
sh.601166,货币金融服务
sh.601168,有色金属矿采选业
sh.601169,货币金融服务
sh.601177,通用设备制造业
sh.601179,电气机械和器材制造业
sh.601186,土木工程建筑业
sh.601187,货币金融服务
sh.601188,道路运输业
sh.601198,资本市场服务
sh.601199,水的生产和供应业
sh.601200,生态保护和环境治理业
sh.601208,化学原料和化学制品制造业
